,0
PLTM,15.37349016636103
PPLT,15.282230006735727
XME,10.98377595478287
CORN,5.337754609930344
SLV,4.991840988681129
COW,4.217544985108432
FIW,3.691987398086774
UYM,3.4398862533454895
SOYB,3.4236572594709314
PHO,2.352112294997099
NIB,1.7911950005309172
GRU,0.5263558106734308
URA,0.2422600088850606
CANE,0.20718962695005058
CGW,0.12754512015354358
REMX,0.025069910538743426
GLTR,0.009293337070310556
GDX,0.0014255695310415439
DBP,-0.011167394787491736
PALL,-0.37204534333550365
GLD,-0.4196287609906453
CUT,-0.45238432854157623
WOOD,-0.7465872683535455
WEAT,-1.5575526229261696
CHIM,-19.791351222862087
JO,-25.54372979411831
